horizon_step,mae_normalized,rmse_normalized,bias_normalized,predictive_std_normalized,interval_width_p10_p90_normalized,coverage_p10_p90,mae_original,rmse_original,bias_original,predictive_std_original,interval_width_p10_p90_original
45,0.29963434,0.59460837,-0.0070783664,0.21033888,0.51193243,0.5723404,0.1005736,0.19958287,-0.002375882,0.07060118,0.1718323
46,0.3365388,0.8880638,0.0056293784,0.20659444,0.50766414,0.56312054,0.11296074,0.2980825,0.0018895139,0.06934434,0.17039962
47,0.32742435,0.70645404,0.0007489184,0.21019001,0.51133835,0.54468083,0.10990146,0.23712446,0.00025137485,0.07055125,0.17163292
48,0.33837065,0.84405464,-0.008416426,0.20843005,0.50895596,0.54184395,0.11357569,0.28331068,-0.0028250115,0.06996047,0.17083341
49,0.34253433,0.8185333,0.024314562,0.20905977,0.5079223,0.5460993,0.11497319,0.27474427,0.008161284,0.07017178,0.17048645
50,0.32897952,0.7770628,0.011196076,0.21326998,0.51565355,0.5539007,0.11042348,0.26082462,0.0037580095,0.07158503,0.17308158
51,0.34673938,0.86766976,-0.037489627,0.21024166,0.51441425,0.54822695,0.11638465,0.29123712,-0.012583561,0.07056856,0.17266536
52,0.32195523,0.71260434,-0.008584862,0.2153662,0.5261806,0.5659574,0.10806566,0.23918888,-0.0028815442,0.07228861,0.17661487
53,0.32635286,0.85482824,0.041676063,0.21078022,0.51638633,0.5751773,0.10954181,0.2869269,0.013988751,0.070749335,0.17332722
54,0.3178532,0.70981425,0.018621752,0.21659598,0.53017545,0.59574467,0.10668886,0.23825231,0.006250479,0.07270146,0.17795579
55,0.31538257,0.7607276,-0.024555553,0.21300608,0.51755166,0.5822695,0.10585955,0.2553416,-0.008242178,0.071496435,0.17371857
56,0.3271963,0.70620966,-0.0043579848,0.2131639,0.51990485,0.5744681,0.10982489,0.23704244,-0.0014627757,0.07154941,0.17450835
57,0.3217403,0.68964726,0.028004989,0.21665229,0.52957904,0.56524825,0.107993506,0.23148322,0.0094,0.072720334,0.17775571
58,0.31687585,0.64930713,0.019558687,0.21420418,0.5259638,0.5489362,0.10636086,0.2179428,0.0065649613,0.07189852,0.17654222
59,0.3213306,0.68061024,0.0045332815,0.21976845,0.5390843,0.56170213,0.10785599,0.22844984,0.0015216194,0.073766254,0.18094589
60,0.30512056,0.6158528,-0.009245048,0.21498688,0.5269048,0.5808511,0.10241494,0.20671369,-0.0031031342,0.072161295,0.17685783
61,0.34742084,0.787908,0.0036679755,0.21681516,0.5313005,0.5567376,0.11661338,0.2644649,0.0012311755,0.07277491,0.17833328
62,0.29878357,0.5778518,0.019718815,0.21483219,0.5229691,0.5687943,0.10028794,0.1939585,0.006618704,0.07210932,0.17553703
63,0.3625286,0.8822946,0.018287053,0.21638225,0.52968776,0.5219858,0.121684425,0.2961461,0.0061381315,0.07262957,0.17779209
64,0.31652877,0.64897066,0.00567407,0.21431415,0.5242773,0.55106384,0.10624439,0.21782982,0.001904525,0.07193554,0.17597608
