horizon_step,mae_normalized,rmse_normalized,bias_normalized,predictive_std_normalized,interval_width_p10_p90_normalized,coverage_p10_p90,mae_original,rmse_original,bias_original,predictive_std_original,interval_width_p10_p90_original
45,0.3057223,0.59514767,-0.016909212,0.14307411,0.35171095,0.3929078,0.10261701,0.19976392,-0.005675649,0.04802344,0.118053325
46,0.34371355,0.85171443,-0.006019174,0.14256531,0.34902078,0.39148936,0.115368985,0.28588176,-0.0020203642,0.047852702,0.11715033
47,0.3325335,0.7469337,-0.004999516,0.14309928,0.3516736,0.37943262,0.1116163,0.2507116,-0.00167811,0.048031926,0.118040934
48,0.33824477,0.7735609,-0.0041765803,0.14552768,0.356276,0.38439715,0.1135334,0.2596492,-0.0014018881,0.048847016,0.11958569
49,0.34911376,0.84889674,0.01232566,0.14478229,0.3538393,0.38652483,0.11718159,0.2849359,0.0041371617,0.048596837,0.11876774
50,0.3260674,0.70254076,-0.0062066256,0.14939518,0.36603302,0.3921986,0.109446034,0.23581102,-0.0020832834,0.050145186,0.122860685
51,0.35509768,0.8868263,-0.04391374,0.1431168,0.3515235,0.37730497,0.1191902,0.29766718,-0.014739838,0.048037775,0.11799046
52,0.31927526,0.6752312,-0.019008994,0.14968975,0.3691263,0.3893617,0.10716623,0.22664441,-0.0063804486,0.050244033,0.12389888
53,0.34554324,0.854017,0.036748573,0.14514072,0.35365346,0.37304965,0.11598315,0.28665456,0.012334827,0.048717093,0.11870529
54,0.32245922,0.70130146,0.01647989,0.14821681,0.36511803,0.38865247,0.10823489,0.23539488,0.005531554,0.04974963,0.122553445
55,0.32721904,0.7581079,-0.033973873,0.14899047,0.36317962,0.4007092,0.10983247,0.25446233,-0.011403475,0.050009303,0.12190282
56,0.32315293,0.66772413,-0.020745933,0.14592615,0.35647047,0.4035461,0.10846777,0.22412445,-0.006963455,0.048980795,0.11965086
57,0.33362842,0.7153326,0.027921598,0.15185323,0.37083027,0.39503548,0.11198379,0.24010451,0.00937201,0.05097021,0.124470845
58,0.31043363,0.61602205,0.01840901,0.14513457,0.35473666,0.4028369,0.10419854,0.20677054,0.006179068,0.048715025,0.11906902
59,0.34790784,0.7610934,-0.011066171,0.1544297,0.3777213,0.38794327,0.11677692,0.25546438,-0.0037144085,0.051835027,0.12678383
60,0.3053835,0.57104015,-0.007242856,0.14786263,0.3624845,0.39787233,0.1025034,0.19167218,-0.002431089,0.049630776,0.12166957
61,0.36768448,0.8504319,0.0012245914,0.15406339,0.3802645,0.3815603,0.12341502,0.2854512,0.00041103808,0.05171205,0.12763739
62,0.2994378,0.55131763,0.00030939205,0.15048738,0.3670695,0.39503548,0.10050764,0.18505219,0.00010384808,0.050511748,0.12320858
63,0.36772192,0.8527744,0.014202509,0.15196808,0.37292996,0.3815603,0.12342756,0.2862375,0.0047671325,0.05100882,0.12517571
64,0.32783592,0.6252653,0.012951932,0.15407614,0.37630612,0.37304965,0.11003947,0.20987304,0.004347374,0.05171636,0.12630883
